n,l,nu_true,nu,nu_err
12,0,1781.7294070740472,1781.7261931652126,0.01
13,0,1914.3304201487172,1914.3475920735623,0.01
14,0,2047.3144457324252,2047.296311084969,0.01
15,0,2180.1249018384574,2180.106979845664,0.01
16,0,2312.0294788898573,2312.03038467058,0.01
17,0,2442.8084096944744,2442.807290993928,0.01
18,0,2574.26298333301,2574.2600867429246,0.01
19,0,2706.5958695200366,2706.611545759212,0.01
20,0,2839.4762247710332,2839.446140844314,0.01
21,0,2972.726600027053,2972.71800138981,0.01
22,0,3105.759219427095,3105.7491272057987,0.01
23,0,3239.1752414990483,3239.176954025616,0.01
24,0,3372.990030064509,3372.9804703170967,0.01
25,0,3507.112282842813,3507.1147564359244,0.01
26,0,3641.7021454037017,3641.715286818675,0.01
27,0,3776.3503286749883,3776.338545004023,0.01
28,0,3911.279130743505,3911.2811128723815,0.01
29,0,4046.3119748505546,4046.3192807275736,0.01
